queries,responses,page_contents,sources
What is gestational diabetes and how is it diagnosed?,"Gestational diabetes (GDM) is diabetes that is diagnosed during the second or third trimester of pregnancy. It is often caused by underlying ß-cell dysfunction or insulin resistance worsened by decreased insulin sensitivity during pregnancy. The prevalence of GDM is higher in Eastern and Southeast Asian countries compared to Western and African countries. In Singapore, GDM occurs in around 1 in 4 to 5 pregnant women. GDM can increase the risk of maternal and neonatal complications such as preeclampsia, macrosomia, and shoulder dystocia.   GDM is diagnosed through glucose testing during pregnancy. If diabetes is first identified during pregnancy, it may represent undiagnosed pre-existing diabetes. It is important for pregnant women to be screened for GDM to ensure proper management and reduce the risk of complications for both the mother and baby.",".1 2 3 Managing GDM to improve outcomesFirst published: 28 May 2018  Last updated: 22 August 2022 Women with diabetes during pregnancy (defined as  glucose levels higher than normal, including  diabetes, GDM, and pre-diabetes) are at increased risk  of maternal and neonatal complications (such as preeclampsia, macrosomia, and shoulder dystocia)  compared to those without diabetes.1 When diabetes  is first identified during pregnancy, this may  represent undiagnosed pre-existing diabetes. GDM is  diabetes diagnosed in the second or third trimester.  The pathophysiology is often underlying ß-cell  dysfunction or insulin resistance worsened by  decreased insulin sensitivity during pregnancy.1,2The prevalence of GDM in Eastern and Southeast Asian  countries is approximately 1 in 10, which is higher than  Western and African countries.3 In Singapore, GDM occurs  in around 1 in 4 to 5 pregnant women—a higher  prevalence than other countries in the Eastern and  Southeast Asian region",data/01_raw/pdfs/gdm---an-update-on-screening-diagnosis-and-follow-up-(may-2018).pdf
What are some healthy eating tips for people with diabetes?,"Some healthy eating tips for people with diabetes include eating well to help with diabetes control, managing weight, blood pressure, cholesterol levels, and overall health. It is recommended to eat in moderation, avoid alcohol as much as possible, maintain medication schedule and insulin dosage, plan meals ahead, opt for healthier products, and use healthier cooking methods. For personalized nutritional advice, it is advisable to consult a healthcare professional such as a dietitian.","Healthy Eating When You Have Diabetes Diet is an important part of diabetes management. Eating well not only helps with your diabetes  control, but also with weight, blood pressure, cholesterol levels and general health. Healthy eating is recommended for everyone, including individuals with diabetes. All individuals can enjoy the same healthy meals. Read on for a general guide on how you can make healthy food choices and have a balanced diet.  For nutritional advice personalised to your condition and needs,  do speak to a healthcare professional such as a dietitian. 2",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
How can my outpatient bill for diabetes be covered?,"You can offset your outpatient bill for diabetes by first utilizing government subsidies available at public specialist outpatient clinics and polyclinics, as well as through schemes like the Community Health Assist Scheme (CHAS), Pioneer Generation (PG), and Merdeka Generation (MG) outpatient subsidies. Additionally, you can further reduce your bill by tapping into employee benefits or private medical insurance. If needed, you can also use your MediSave through the Chronic Disease Management Programme (CDMP) to reduce out-of-pocket costs. After deducting from these sources, you may still need to cover the remaining bill with out-of-pocket payment.","How your outpatient bill may be covered Offset your bill with  government subsidies first E.g., Government subsidies at  public specialist outpatient  clinics and polyclinics,  Community Health Assist  Scheme (CHAS), Pioneer  Generation (PG) and Merdeka  Generation (MG) outpatient  subsidies Then, if available,  further reduce  your bill by tapping  on employee  benefits or private  medical insuranceYou can then use your  MediSave through the  Chronic Disease  Management  Programme (CDMP) to  reduce out -of-pocket  costsAfter deduction  from the sources  above, you may still  need to cover the  remaining bill  with out- ofpocket paymentGovernment subsidies 15",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
What is pre-diabetes and how does it differ from type 2 diabetes?,"Pre-diabetes is a condition where blood sugar levels are higher than normal but not high enough to be diagnosed with diabetes. It puts individuals at an increased risk of developing Type 2 diabetes. Making lifestyle changes such as healthy eating can help delay the progression to diabetes or even reverse pre-diabetes. People with pre-diabetes usually do not have symptoms and the only way to diagnose it is through blood tests.  Type 2 diabetes, on the other hand, may not have obvious symptoms or they can be easily missed. If ignored, it can lead to serious complications such as Hyperosmolar Hyperglycaemic Syndrome. Type 2 diabetes typically has a slower onset compared to Type 1 diabetes, which has a fast onset often over a few days. Ignoring symptoms of Type 2 diabetes can lead to serious complications like Hyperosmolar Hyperglycaemic Syndrome.","What is pre -diabetes? •Pre-diabetes is when your blood sugar levels  arehigher than normal but not high  enough to be diagnosed with diabetes. •Having pre -diabetes puts you at an increased  risk of Type 2 diabetes. •Making lifestyle changes, such as healthy  eating, can delay the progression to diabetes or reverse pre- diabetes. •People with pre -diabetes usually have no  symptoms. The only way to diagnose if you have pre- diabetes is through blood tests. 8",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-01-BeAware.pdf
What are the potential health risks associated with having pre-diabetes?,"Potential health risks associated with having pre-diabetes include high blood sugar, high blood pressure, and high blood cholesterol which can damage blood vessels. This damage may lead to complications such as nerve damage (neuropathy), stroke, heart disease, circulatory problems, loss of feeling in the feet, increased risk of foot ulcers and infections, eye disease, and reduced kidney function. It is important to monitor and manage pre-diabetes to prevent these complications.",Risk factors for developing pre-diabetes and Type 2 diabetes Family member(s)  known to have diabetesHistory of diabetes  during pregnancy40 years of age and above Body Mass Index (BMI) of 23.0 kg/m2 or higherInactive (sedentary) lifestyle Unhealthy eating habits 10,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-01-BeAware.pdf
How can lifestyle changes like diet and exercise help manage pre-diabetes?,"Lifestyle changes such as a healthy diet and increased physical activity have been shown to reduce the progression from pre-diabetes to Type 2 diabetes by 35% over 10 years. Additionally, exercise is important for general health and well-being, and can still be done if you have diabetes by taking precautions based on your type of diabetes, pre-exercise glucose level, medication and timing, recent food intake, and general health condition.",". For women with a history  of GDM, lifestyle intervention (including healthy diet  and increased physical activity) has been shown to  reduce the progression from pre-diabetes to T2DM by  35% over 10 years.23",data/01_raw/pdfs/gdm---an-update-on-screening-diagnosis-and-follow-up-(may-2018).pdf
What specific dietary recommendations are given for someone with pre-diabetes?,"For someone with pre-diabetes, it is recommended to focus on healthy eating habits. This includes making balanced food choices, managing portion sizes, and incorporating regular physical activity into your routine. It is important to limit the intake of sugar-sweetened beverages and foods, as well as alcohol. Additionally, aiming for at least 150 minutes of moderate-intensity exercise per week, such as brisk walking or leisure cycling, can help reduce the risk of developing type 2 diabetes. For personalized dietary recommendations tailored to your condition and needs, it is advisable to consult with a healthcare professional like a dietitian.",".g. Fruit juiceSAY NOAvoid sugar-sweetened  beverages & foods Smoking cessationFemale Male1 standard drink = 330 mL of beer = 100 mL of wine = 30 mL of spirits   or hard liquor Limit alcohol intake1 DAY 5Overview of lifestyle intervention in pre-diabetes Role of lifestyle intervention Lifestyle intervention   reduces the risk of   developing T2DM by 31 to  37% over 2 to 6 years Physical activity ≥≥ 150 minutes  per week   of moderateintensity exercise,  such as brisk  walking or  leisure cycling leisure cycling  (< 16 km/hr)  No more than two consecutive days without exercisePortion a healthy plate",data/01_raw/pdfs/managing-pre-diabetes-(updated-on-27-jul-2021)c2bfc77474154c2abf623156a4b93002.pdf
Under what circumstances might medication be recommended for pre-diabetes and what medication is typically used?,"Medication for pre-diabetes may be recommended in certain cases where lifestyle changes alone are not sufficient to manage blood sugar levels. Typically, medications such as metformin may be prescribed for individuals with pre-diabetes to help lower their blood sugar levels and reduce the risk of developing Type 2 diabetes. It is important to consult with a healthcare provider to determine the most appropriate treatment plan based on individual health needs.","Diabetes medications play a key role in managing T2DM for most if not all patients. Importantly, medications  are to be used in conjunction with lifestyle intervention. Patients may require medications soon after diagnosis,  or after a period (e.g., 3 to 6 months) of lifestyle intervention alone. This ACG focuses on personalising noninsulin T2DM medications, acknowledging that insulin still has an important role in the management of T2DM.  Pharmacological treatment  Lifestyle intervention: a cornerstone of successful T2DM management All international guidelines advocate lifestyle intervention as essential to prevent and manage  T2DM.14-20 A healthy lifestyle can have direct impact on glycaemic control and CVD risk,7,19 with the  latter being a major cause of mortality among patients with T2DM",data/01_raw/pdfs/acg-t2dm-personalising-medications.pdf
How often should someone with pre-diabetes get follow-up testing or screening done?,"Someone with pre-diabetes should consider getting follow-up testing or screening done regularly to monitor their condition. It is recommended to have regular check-ups with your healthcare provider to review parameters such as HbA1c, blood pressure, weight, BMI, lipid profile, kidney parameters, smoking, eye and foot assessments. Complication screening should be conducted at least annually. Making these lifestyle changes and monitoring your health can help delay the progression to diabetes or even reverse pre-diabetes.",". Review parameters and frequency Tailor the frequency of follow-up consultations. For example, review: • every six months if the patient is doing well and meeting their agreed treatment goals • every three months if the patient is not doing well or finding it challenging to achieve their treatment goals • earlier as required, e.g., when starting, adjusting or stopping a medication. Review parameters include HbA 1c, blood pressure, weight, BMI, lipid profile, kidney parameters (such as eGFR  and urinary albumin:creatinine ratio), smoking, eye and foot assessments. Complication screening should be  conducted at least annually (e.g., kidney, eye and foot assessments).  Local programs may provide useful resources and frameworks to facilitate regular reviews for patients with  T2DM, such as the Chronic Disease Management Programme or Healthier SG Care Protocols",data/01_raw/pdfs/acg-t2dm-personalising-medications.pdf
What tips or strategies are suggested for sustaining healthy lifestyle changes long-term for pre-diabetes?,"To sustain healthy lifestyle changes long-term for pre-diabetes, it is recommended to tailor the lifestyle intervention to individual needs. This can be done by reinforcing behavioral changes through regular logging of exercise, physical condition, work nature, diet, and weight. Engaging in at least 75 minutes per week of vigorous-intensity exercise, such as jogging or fast-paced cycling, is advised. For those who are overweight or obese, gradually achieving and maintaining a BMI of less than 23 kg/m2 or a 5 to 10% body weight loss is beneficial. Additionally, implementing a diet consisting of 25% lean meat, low-fat dairy or soy products, 25% whole grains like brown rice, and 50% vegetables with a small portion of fruits can help in sustaining healthy lifestyle changes long-term for pre-diabetes.","Living well with diabetes by  creating your healthy body & self •What you do to take care of yourself and manage diabetes day -today matters and affects how successful the prescribed treatment  would be.​ •Making lifestyle changes for diabetes can be as powerful as medications to prevent complications. These include healthy eating, being active, blood sugar monitoring, taking medication, problem solving, reducing risks, coping with stress.​ •Starting can feel difficult and overwhelming, but as you learn, build skills and carry these steps out, they will become easier and more effortless.​ •Learning self -care and ways to tackle stress and diabetes distress,  and then following through with them, can get you feeling more independent, in -charge and gaining better health.​ 93",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
